Symbol,Price,Shares,Avg Cost/share,Day's gain,Day's gain(%),Total gain,Total gain(%),Market value,Change,Change(%),Day Low,Day High,52wk Low,52wk High,Market Cap,Volume,Avg Volume,Mkt Time
HD,402.2,2.0,10000.0,-6.079956,-0.00750167,-19195.599976,-0.95978,804.400024,-3.039978,-0.0075016737,398.08,405.68,246.59,420.61,4.1999335424E11,4647841,3390053.0,1639515602000
PG,158.25,7.0,6428.571428571428,4.060013,0.0036785800000000003,-43892.25,-0.97538333,1107.75,0.58000183,0.0036785807999999997,156.66,158.6284,121.54,158.63,3.82957092864E11,8226808,7124901.0,1639515747000
KO,57.8,4.0,5000.0,0.160004,6.9254E-4,-19768.800003,-0.98844,231.199997,0.040000916,6.925367E-4,57.4,58.17,48.11,58.17,2.49662472192E11,22044957,1.6380296E7,1639515602000
VZ,50.65,4.0,3000.0,1.480011,0.00735885,-11797.399994,-0.98311667,202.600006,0.37000275,0.007358846,50.18,51.145,49.69,60.78,2.12616544256E11,30400483,2.0475671E7,1639515601000
WMT,144.94,8.0,8500.0,10.959961,0.00954235,-66840.47998,-0.98294824,1159.52002,1.3699951,0.009542349,142.1501,145.28,126.28,152.57,4.02046189568E11,13769005,8512480.0,1639515602000
JNJ,170.29,8.0,8500.0,14.719971,0.010923099999999998,-66637.680054,-0.9799658800000001,1362.319946,1.8399963,0.010923101,167.16,170.97,149.55,179.92,4.48305463296E11,10481216,7376765.0,1639515602000
PFE,55.54,4.0,1000.0,1.360001,0.00615942,-3777.839996,-0.94446,222.160004,0.34000015,0.006159423000000001,54.316,55.95,33.36,55.95,3.11738826752E11,47191021,3.5178552E7,1639515774000
T,22.29,2.0,1000.0,-0.299999,-0.0066844700000000005,-1955.419998,-0.97771,44.580002,-0.14999962,-0.006684475,22.25,22.73,22.22,33.88,1.59172902912E11,70861978,4.8025517E7,1639515749000
CSCO,57.77,2.0,1000.0,-1.68,-0.01433203,-1884.459999,-0.94223,115.540001,-0.84000015,-0.014332029,57.37,58.525,43.35,60.27,2.43651330048E11,19114189,1.9680125E7,1639515603000
BGEPF,122.8635,8.0,8500.0,-3.411987,-0.0034593099999999997,-67017.09198,-0.98554547,982.90802,-0.4264984,-0.0034593105000000003,122.8635,122.8635,100.0,130.21,9.903940608E9,25323,56185.0,1639504549000
